zip_code,date,rent_usd,beds_baths,sqft,address,url
94114,2026-04-10 23:34:19,2300.0,"Studio, 1 Bath",350.0,,https://www.apartments.com/2255-market-st-san-francisco-ca/ykmsrlt/
94109,2026-04-10 23:34:26,1200.0,Studio,,,https://www.apartments.com/1038-1098-larkin-st-san-francisco-ca/72c340z/
94124,2026-04-10 23:34:32,4490.0,3 Beds,,,https://www.apartments.com/1566-newcomb-ave-san-francisco-ca/fvjxg1t/
94124,2026-04-10 23:34:38,2800.0,1 Bed,,,https://www.apartments.com/1408-shafter-ave-san-francisco-ca-unit-1/5jgbt0q/
94108,2026-04-10 23:34:42,6750.0,1 Bed,,,https://www.apartments.com/899-pine-st-san-francisco-ca-unit-si-fl10-id1336274p/mnhlcpk/
94014,2026-04-10 23:34:48,1300.0,1 Bed,,,https://www.apartments.com/185-miriam-st-daly-city-ca/blldc1c/
94110,2026-04-10 23:34:54,2300.0,1 Bed,,,https://www.apartments.com/756-potrero-ave-san-francisco-ca/5lg66zn/
94116,2026-04-10 23:35:00,3550.0,"2 Beds, 2 Baths",1200.0,,https://www.apartments.com/2034-33rd-ave-san-francisco-ca-unit-2bdr2bath-spacious-flat/hb5vgf0/
94112,2026-04-10 23:35:06,3900.0,"2 Beds, 1 Bath",1150.0,,https://www.apartments.com/257-rome-st-san-francisco-ca/jclt107/
94110,2026-04-10 23:35:11,9900.0,"3 Beds, 2 Baths",1500.0,,https://www.apartments.com/3637-18th-st-san-francisco-ca-unit-apt-2/h1fne91/
94110,2026-04-10 23:35:17,9900.0,"3 Beds, 1.5 Baths",1300.0,,https://www.apartments.com/328-lexington-st-san-francisco-ca/zcwwgtw/
94109,2026-04-10 23:35:23,3950.0,"1 Bed, 1 Bath",600.0,,https://www.apartments.com/1-daniel-burnham-court-san-francisco-ca-unit-407/h69t3k0/
94107,2026-04-10 23:35:29,5800.0,"2 Beds, 2 Baths",975.0,,https://www.apartments.com/1300-22nd-st-san-francisco-ca-unit-207/zmh8lsz/
94112,2026-04-10 23:35:35,1295.0,"1 Bed, 1 Bath",100.0,,https://www.apartments.com/19-miramar-ave-san-francisco-ca/htxk3h2/
94132,2026-04-10 23:35:41,1500.0,1 Bed,,,https://www.apartments.com/16-victoria-st-san-francisco-ca/0wsnvb0/
