title,beds_baths,pricing,address,zip_code,url,scraped_at
"16 Victoria St Unit House, San Francisco, CA 94132",1 Bed,"$1,500","16 Victoria St Unit House, San Francisco, CA 94132",94132,https://www.apartments.com/16-victoria-st-san-francisco-ca/0wsnvb0/,2026-04-10 23:35:41 UTC
"792 Hayes St Unit 792 A Hayes St, San Francisco, CA 94102",1 Bed,"$2,800","792 Hayes St Unit 792 A Hayes St, San Francisco, CA 94102",94102,https://www.apartments.com/792-hayes-st-san-francisco-ca/pt8fb9s/,2026-04-10 23:35:49 UTC
"959 York St Unit A, San Francisco, CA 94110",2 Beds,"$3,900","959 York St Unit A, San Francisco, CA 94110",94110,https://www.apartments.com/959-york-st-san-francisco-ca/3rchrzf/,2026-04-10 23:35:55 UTC
"873 Greenwich St Unit 873 Greenwich Street, San Francisco, CA 94133",1 Bed,"$2,500","873 Greenwich St Unit 873 Greenwich Street, San Francisco, CA 94133",94133,https://www.apartments.com/873-greenwich-st-san-francisco-ca/skk6mr6/,2026-04-10 23:36:01 UTC
"1482 Innes Avenue Unit Upper Flat w Views, San Francisco, CA 94124",2 Beds,"$3,350","1482 Innes Avenue Unit Upper Flat w Views, San Francisco, CA 94124",94124,https://www.apartments.com/1482-innes-avenue-san-francisco-ca/rgkckw0/,2026-04-10 23:36:07 UTC
"1379 19th Ave Unit A, San Francisco, CA 94122",1 Bed,"$2,400","1379 19th Ave Unit A, San Francisco, CA 94122",94122,https://www.apartments.com/1379-19th-ave-san-francisco-ca/sqtcjm7/,2026-04-10 23:36:12 UTC
"1114 Montgomery St, San Francisco, CA 94133",3 Beds,"$8,500+","1114 Montgomery St, San Francisco, CA 94133",94133,https://www.apartments.com/1114-montgomery-st-san-francisco-ca/b461cq8/,2026-04-10 23:36:30 UTC
"1201 Sutter St Unit 408, San Francisco, CA 94109",2 Beds,"$7,500","1201 Sutter St Unit 408, San Francisco, CA 94109",94109,https://www.apartments.com/1201-sutter-st-san-francisco-ca/z2h3xjy/,2026-04-10 23:36:36 UTC
"15 Woodland Ave Unit Top, San Francisco, CA 94117",2 Beds,"$5,500","15 Woodland Ave Unit Top, San Francisco, CA 94117",94117,https://www.apartments.com/15-woodland-ave-san-francisco-ca/1nbn9h4/,2026-04-10 23:37:05 UTC
"3500 23rd St, San Francisco, CA 94110",1 Bed,"$1,400+","3500 23rd St, San Francisco, CA 94110",94110,https://www.apartments.com/3500-23rd-st-san-francisco-ca/0v6lwp1/,2026-04-10 23:37:22 UTC
"254 Abbot Ave Unit Apt, Daly City, CA 94014",1 Bed,"$2,500","254 Abbot Ave Unit Apt, Daly City, CA 94014",94014,https://www.apartments.com/254-abbot-ave-daly-city-ca/6h41y8v/,2026-04-10 23:37:34 UTC
"Vara 1600 15th St, San Francisco, CA 94103",Studio,"$2,769+","1600 15th St, San Francisco, CA 94103",94103,https://www.apartments.com/vara-san-francisco-ca/lwhhlfg/,2026-04-12 05:41:14 UTC
