title,pricing,beds_baths,address,amenities,url,scraped_at
"*Washer/Dryer, Near BART and Muni Locations",$0,,castro / upper market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-washer-dryer-near-bart/7927139910.html,2026-04-12 05:22:44 UTC
High-rise Apartments Near Russian Hill!,$0,,russian hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-high-rise-apartments-near/7927139772.html,2026-04-12 05:22:44 UTC
TMLP 12-mo. | Discover Japantown's Cuisine Just Around the Corner!,"$2,106",,tenderloin,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-discover/7927139768.html,2026-04-12 05:22:44 UTC
"Patio, Fitness Center, Controlled Access, Heated Swimming Pool",$0,,marina / cow hollow,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-patio-fitness-center/7927139727.html,2026-04-12 05:22:44 UTC
Your San Francisco Haven: Steps from Ghirardelli and Pier 39!,$0,,north beach / telegraph hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-your-san-francisco-haven/7927139729.html,2026-04-12 05:22:44 UTC
"Hardwood Floors, Refrigerator, Community Workspaces, Granite Counters",$0,,potrero hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-hardwood-floors/7927139231.html,2026-04-12 05:22:44 UTC
TMLP 12-mo. | Special offer (on select units)- Call for more information,"$5,375",,SOMA / south beach,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-special-offer/7927138976.html,2026-04-12 05:22:44 UTC
"Custom-designed cabinets, BBQ station, Tour Today, Package Room",$0,,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-custom-designed-cabinets/7927138955.html,2026-04-12 05:22:44 UTC
15-mo. | Rare Opportunity: Spacious 1 BR/1 BA w/ Access to Fitness SF,"$3,607",,western addition,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-15-mo-rare-opportunity/7927138750.html,2026-04-12 05:22:44 UTC
"Oversized Windows, Quartz Countertops, A Must See",$0,,bayview,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-oversized-windows-quartz/7927138495.html,2026-04-12 05:22:44 UTC
Multi Level Loft Townhouse with attached garage,"$4,995",,financial district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-multi-level-loft/7926650852.html,2026-04-12 05:22:44 UTC
"Custom Apartment with Sunroom, Furnished /Unfurnished , All inclusive.","$3,995",,twin peaks / diamond hts,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-custom-apartment-with/7926650673.html,2026-04-12 05:22:44 UTC
Room in Coed 3 bed 1.5 Bath 2075$ Central Richmond Avail in JUNE,"$2,075",,richmond / seacliff,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-room-in-coed-bed-15-bath/7927131653.html,2026-04-12 05:22:44 UTC
In-Law unit near SF City College (Utilities includes),"$2,500",,excelsior / outer mission,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-in-law-unit-near-sf-city/7924041812.html,2026-04-12 05:22:44 UTC
Charming 1 Bedroom in Historic North Beach – Prime San Francisco Locat,"$4,495",,north beach / telegraph hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-bedroom-in/7927118893.html,2026-04-12 05:22:44 UTC
TOTAL REMODEL BRIGHT & SUNNY TOP FLOOR 750sf 1BR/1BA Apt Lower Haight,"$2,995",,lower haight,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-total-remodel-bright/7927124227.html,2026-04-12 05:22:44 UTC
**Spacious Studio Apartments Central***,"$1,999",,"San Francisco, CA",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-studio/7927117415.html,2026-04-12 05:22:44 UTC
"575 Ofarrell St, San Francisco, CA | Cat AND Dog OK.","$1,400",,city of san francisco,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-575-ofarrell-st-san/7927118574.html,2026-04-12 05:22:44 UTC
1900 Washington #301 - Stunning 1x1 - GIANT - Natural Light - Pets OK,"$4,895",,pacific heights,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1900-washington-stunning/7927123565.html,2026-04-12 05:22:44 UTC
2 Bedroom / 1 Bath in the heart of the city,"$3,975",,lower pac hts,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-bath-in-the-heart/7927123125.html,2026-04-12 05:22:44 UTC
