title,pricing,beds_baths,address,amenities,url,scraped_at
"Edgewater 355 Berry St, San Francisco, CA 94158","Studio $4,055 1 Bed $4,083+ 2 Beds $5,283+","Studio $4,055","355 Berry St, San Francisco, CA 94158",Pets Allowed Fitness Center Kitchen In Unit Washer & Dryer Walk-In Closets Balcony High-Speed Internet,https://www.apartments.com/edgewater-san-francisco-ca/1ybjl44/,
"2000 Post 1777 Steiner St, San Francisco, CA 94115","Studio $3,512+ 1 Bed $4,010+ 2 Beds $5,350+","Studio $3,512+","1777 Steiner St, San Francisco, CA 94115",Pets Allowed Fitness Center Pool Walk-In Closets High-Speed Internet Stainless Steel Appliances Ceiling Fans,https://www.apartments.com/2000-post-san-francisco-ca/mrb74sk/,
"NEMA 8 10th St, San Francisco, CA 94103","Studio $3,476+ 1 Bed $4,710+","Studio $3,476+","8 10th St, San Francisco, CA 94103",Pets Allowed Fitness Center Pool Dishwasher Refrigerator In Unit Washer & Dryer Walk-In Closets,https://www.apartments.com/nema-san-francisco-ca/8z5g891/,
"100 Van Ness 100 Van Ness Ave, San Francisco, CA 94102","Studio $3,812 1 Bed $4,617+ 2 Beds $6,222+","Studio $3,812","100 Van Ness Ave, San Francisco, CA 94102",Pets Allowed Fitness Center Pool Dishwasher Refrigerator Kitchen,https://www.apartments.com/100-van-ness-san-francisco-ca/yv6dh0t/,
"388 Beale 388 Beale St, San Francisco, CA 94105","1 Bed $5,439+ 2 Beds $6,404+","1 Bed $5,439+","388 Beale St, San Francisco, CA 94105",Pets Allowed Fitness Center In Unit Washer & Dryer Walk-In Closets Balcony Maintenance on site High-Speed Internet,https://www.apartments.com/388-beale-san-francisco-ca/bkq1ge9/,
"399 Fremont 375-399 Fremont St, San Francisco, CA 94105","Studio $4,093+ 1 Bed $5,285+ 2 Beds $6,791+","Studio $4,093+","375-399 Fremont St, San Francisco, CA 94105",Pets Allowed Fitness Center Pool Balcony High-Speed Internet Stainless Steel Appliances,https://www.apartments.com/399-fremont-san-francisco-ca/vg7veyf/,
"Westlake Apartments 331 Park Plaza Dr, Daly City, CA 94015","Studio $1,980+ 1 Bed $2,169+ 2 Beds+ $3,360+","Studio $1,980+","331 Park Plaza Dr, Daly City, CA 94015",Pets Allowed Dishwasher Walk-In Closets Balcony Maintenance on site CableReady Elevator,https://www.apartments.com/westlake-apartments-daly-city-ca/d23sjpl/,
"Prism 1028 Market St, San Francisco, CA 94102","Studio $2,596+ 1 Bed $3,390+ 2 Beds $3,675+","Studio $2,596+","1028 Market St, San Francisco, CA 94102",Pets Allowed In Unit Washer & Dryer,https://www.apartments.com/prism-san-francisco-ca/f6w4p9t/,
"Solaire 299 Fremont St, San Francisco, CA 94105","Studio $4,390+ 1 Bed $5,088+ 2 Beds $6,096+","Studio $4,390+","299 Fremont St, San Francisco, CA 94105",Pets Allowed Fitness Center Pool In Unit Washer & Dryer Stainless Steel Appliances Business Center Controlled Access,https://www.apartments.com/solaire-san-francisco-ca/ts39px9/,
"1188 Mission at Trinity Place 1188 Mission St, San Francisco, CA 94103","1 Bed $2,845+","1 Bed $2,845+","1188 Mission St, San Francisco, CA 94103",Fitness Center High-Speed Internet Elevator,https://www.apartments.com/1188-mission-at-trinity-place-san-francisco-ca/dm9e9kl/,
"1190 Mission at Trinity Place 1190 Mission St, San Francisco, CA 94103","1 Bed $2,775+","1 Bed $2,775+","1190 Mission St, San Francisco, CA 94103",Pets Allowed Fitness Center,https://www.apartments.com/1190-mission-at-trinity-place-san-francisco-ca/yz77zfv/,
"Jasper 45 Lansing St, San Francisco, CA 94105","Studio $4,720+ 1 Bed $5,375+","Studio $4,720+","45 Lansing St, San Francisco, CA 94105",Pets Allowed Fitness Center Pool Dishwasher Refrigerator Kitchen,https://www.apartments.com/jasper-san-francisco-ca/cgy0m0e/,
"1177 Market at Trinity Place 1177 Market St, San Francisco, CA 94103","1 Bed $3,022+ 2 Beds $3,658+","1 Bed $3,022+","1177 Market St, San Francisco, CA 94103",Pets Allowed Fitness Center Stainless Steel Appliances Granite Countertops,https://www.apartments.com/1177-market-at-trinity-place-san-francisco-ca/cjkjj6g/,
"Alta Potrero 1301 16th St, San Francisco, CA 94103","Studio $3,960+ 1 Bed $4,690+ 2 Beds+ $6,811+","Studio $3,960+","1301 16th St, San Francisco, CA 94103",Pets Allowed Fitness Center Grill Courtyard,https://www.apartments.com/alta-potrero-san-francisco-ca/k15xrnb/,
"Geary Courtyard 639 Geary St, San Francisco, CA 94102","Studio $2,270+ 1 Bed $2,805","Studio $2,270+","639 Geary St, San Francisco, CA 94102",Pets Allowed High-Speed Internet Stainless Steel Appliances Business Center Package Service Controlled Access Concierge,https://www.apartments.com/geary-courtyard-san-francisco-ca/kvh3nk8/,
"33 8th at Trinity Place 33 8th St, San Francisco, CA 94103","Studio $4,130+ 1 Bed $3,346+ 2 Beds $3,656+","Studio $4,130+","33 8th St, San Francisco, CA 94103",Pets Allowed Fitness Center Elevator,https://www.apartments.com/33-8th-at-trinity-place-san-francisco-ca/7ddw1jw/,
"The Fillmore Center 1475 Fillmore St, San Francisco, CA 94115","Studio $2,960+ 1 Bed $3,607+ 2 Beds+ $4,902+","Studio $2,960+","1475 Fillmore St, San Francisco, CA 94115",Pets Allowed Fitness Center In Unit Washer & Dryer Walk-In Closets High-Speed Internet Stainless Steel Appliances Controlled Access,https://www.apartments.com/the-fillmore-center-san-francisco-ca/9s0ez36/,
